"CA","TX","WI","Total","date","event_type","snap_CA","snap_TX","snap_WI"
11047,7381,6984,25412,2011-02-01,NA,1,1,0
9925,5912,3309,19146,2011-02-02,NA,1,0,1
11322,9006,8883,29211,2011-02-03,NA,1,1,1
12251,6226,9533,28010,2011-02-04,NA,1,0,0
16610,9440,11882,37932,2011-02-05,NA,1,1,1
14696,9376,8664,32736,2011-02-06,"Sporting",1,1,1
11822,7319,6431,25572,2011-02-07,NA,1,1,0
10933,6224,5914,23071,2011-02-08,NA,1,0,1
10350,6740,6568,23658,2011-02-09,NA,1,1,1
11204,6109,6443,23756,2011-02-10,NA,1,0,0
11354,7202,7889,26445,2011-02-11,NA,0,1,1
14610,10081,10142,34833,2011-02-12,NA,0,1,1
15630,11725,9025,36380,2011-02-13,NA,0,1,0
9044,6719,6041,21804,2011-02-14,"Cultural",0,0,1
9496,7460,7114,24070,2011-02-15,NA,0,1,1
8844,6606,5993,21443,2011-02-16,NA,0,0,0
7835,6412,6071,20318,2011-02-17,NA,0,0,0
10025,6711,6985,23721,2011-02-18,NA,0,0,0
13870,9150,8669,31689,2011-02-19,NA,0,0,0
13465,9789,6029,29283,2011-02-20,NA,0,0,0
11997,7297,4672,23966,2011-02-21,"National",0,0,0
9130,6628,4743,20501,2011-02-22,NA,0,0,0
8941,5814,6002,20757,2011-02-23,NA,0,0,0
8514,6175,5588,20277,2011-02-24,NA,0,0,0
9847,6286,6396,22529,2011-02-25,NA,0,0,0
13652,8586,7670,29908,2011-02-26,NA,0,0,0
12491,9086,7130,28707,2011-02-27,NA,0,0,0
9196,6555,5489,21240,2011-02-28,NA,0,0,0
9782,7082,6008,22872,2011-03-01,NA,1,1,0
9537,6145,6364,22046,2011-03-02,NA,1,0,1
9710,6639,7126,23475,2011-03-03,NA,1,1,1
10444,6584,6544,23572,2011-03-04,NA,1,0,0
13784,9238,8180,31202,2011-03-05,NA,1,1,1
16057,10423,8396,34876,2011-03-06,NA,1,1,1
10953,7623,5986,24562,2011-03-07,NA,1,1,0
10299,6335,6118,22752,2011-03-08,NA,1,0,1
9951,6941,5668,22560,2011-03-09,"Religious",1,1,1
10012,6339,6275,22626,2011-03-10,NA,1,0,0
11189,7203,7180,25572,2011-03-11,NA,0,1,1
13710,9271,9244,32225,2011-03-12,NA,0,1,1
14340,9542,7535,31417,2011-03-13,NA,0,1,0
10722,7745,6468,24935,2011-03-14,NA,0,0,1
9293,7834,6894,24021,2011-03-15,NA,0,1,1
9752,6768,6245,22765,2011-03-16,"Religious",0,0,0
9504,6759,5516,21779,2011-03-17,"Cultural",0,0,0
10030,7131,6694,23855,2011-03-18,NA,0,0,0
14509,8203,7887,30599,2011-03-19,NA,0,0,0
14112,8992,6539,29643,2011-03-20,"Religious",0,0,0
10255,7075,5771,23101,2011-03-21,NA,0,0,0
9383,6086,5023,20492,2011-03-22,NA,0,0,0
8490,5914,4826,19230,2011-03-23,NA,0,0,0
7889,5898,5067,18854,2011-03-24,NA,0,0,0
11011,6249,6090,23350,2011-03-25,NA,0,0,0
13816,8072,7732,29620,2011-03-26,NA,0,0,0
13661,9434,6771,29866,2011-03-27,NA,0,0,0
9997,6429,5023,21449,2011-03-28,NA,0,0,0
8516,5728,5337,19581,2011-03-29,NA,0,0,0
8911,5384,4633,18928,2011-03-30,NA,0,0,0
10059,6096,5587,21742,2011-03-31,NA,0,0,0
12827,7992,7490,28309,2011-04-01,NA,1,1,0
14791,9134,9553,33478,2011-04-02,NA,1,0,1
15341,9863,7854,33058,2011-04-03,NA,1,1,1
12356,6648,5848,24852,2011-04-04,NA,1,0,0
10497,6743,6341,23581,2011-04-05,NA,1,1,1
10101,6689,5866,22656,2011-04-06,NA,1,1,1
10575,7201,5125,22901,2011-04-07,NA,1,1,0
10971,6797,6986,24754,2011-04-08,NA,1,0,1
14064,9025,8656,31745,2011-04-09,NA,1,1,1
15291,9648,6597,31536,2011-04-10,NA,1,0,0
11098,7555,6176,24829,2011-04-11,NA,0,1,1
9181,7302,6735,23218,2011-04-12,NA,0,1,1
8853,7202,5556,21611,2011-04-13,NA,0,1,0
9430,6338,6196,21964,2011-04-14,NA,0,0,1
10922,7749,6811,25482,2011-04-15,NA,0,1,1
12809,8573,7852,29234,2011-04-16,NA,0,0,0
13894,9248,6645,29787,2011-04-17,NA,0,0,0
9955,7218,5216,22389,2011-04-18,NA,0,0,0
8930,6133,4411,19474,2011-04-19,NA,0,0,0
8582,6387,5219,20188,2011-04-20,NA,0,0,0
8986,5677,5105,19768,2011-04-21,NA,0,0,0
10967,7542,5770,24279,2011-04-22,NA,0,0,0
13577,8833,7165,29575,2011-04-23,NA,0,0,0
11721,7897,4400,24018,2011-04-24,"Religious",0,0,0
8865,6339,4800,20004,2011-04-25,NA,0,0,0
8176,5535,4402,18113,2011-04-26,"Religious",0,0,0
8135,5369,4425,17929,2011-04-27,NA,0,0,0
7951,5372,4822,18145,2011-04-28,NA,0,0,0
9730,6432,6573,22735,2011-04-29,NA,0,0,0
12428,8240,7433,28101,2011-04-30,NA,0,0,0
12997,9644,6404,29045,2011-05-01,NA,1,1,0
10657,6125,6055,22837,2011-05-02,NA,1,0,1
10669,6937,6474,24080,2011-05-03,NA,1,1,1
9596,5771,5394,20761,2011-05-04,NA,1,0,0
9281,6372,5531,21184,2011-05-05,"Cultural",1,1,1
10617,7924,5945,24486,2011-05-06,NA,1,1,1
12386,8863,7163,28412,2011-05-07,NA,1,1,0
11231,7440,5017,23688,2011-05-08,"Cultural",1,0,1
11264,8001,5759,25024,2011-05-09,NA,1,1,1
10430,6523,5278,22231,2011-05-10,NA,1,0,0
9570,6755,5840,22165,2011-05-11,NA,0,1,1
9312,6708,6393,22413,2011-05-12,NA,0,1,1
10978,8231,6439,25648,2011-05-13,NA,0,1,0
12496,8663,7577,28736,2011-05-14,NA,0,0,1
13549,10237,7534,31320,2011-05-15,NA,0,1,1
9542,7141,5530,22213,2011-05-16,NA,0,0,0
8492,6179,4942,19613,2011-05-17,NA,0,0,0
8258,5787,4725,18770,2011-05-18,NA,0,0,0
8410,5680,4594,18684,2011-05-19,NA,0,0,0
9809,6337,5503,21649,2011-05-20,NA,0,0,0
12007,8288,6817,27112,2011-05-21,NA,0,0,0
12301,8518,5427,26246,2011-05-22,NA,0,0,0
9346,6545,5063,20954,2011-05-23,NA,0,0,0
8541,5813,4849,19203,2011-05-24,NA,0,0,0
8835,5958,4265,19058,2011-05-25,NA,0,0,0
9176,6283,5021,20480,2011-05-26,NA,0,0,0
10231,6343,5907,22481,2011-05-27,NA,0,0,0
10959,8286,6282,25527,2011-05-28,NA,0,0,0
11115,7251,5083,23449,2011-05-29,NA,0,0,0
10768,7152,4618,22538,2011-05-30,"National",0,0,0
8743,5865,4947,19555,2011-05-31,"Sporting",0,0,0
9662,7780,5723,23165,2011-06-01,NA,1,1,0
9889,6662,6130,22681,2011-06-02,NA,1,0,1
11788,8130,6863,26781,2011-06-03,NA,1,1,1
13730,8753,7827,30310,2011-06-04,NA,1,0,0
13997,9712,7895,31604,2011-06-05,NA,1,1,1
11171,8655,6859,26685,2011-06-06,NA,1,1,1
10489,7955,6645,25089,2011-06-07,NA,1,1,0
10606,7409,6438,24453,2011-06-08,NA,1,0,1
10266,7772,6744,24782,2011-06-09,NA,1,1,1
12188,7823,6408,26419,2011-06-10,NA,1,0,0
12534,9628,7778,29940,2011-06-11,NA,0,1,1
13616,10570,6908,31094,2011-06-12,"Sporting",0,1,1
11284,8731,5737,25752,2011-06-13,NA,0,1,0
10400,7320,6435,24155,2011-06-14,NA,0,0,1
10380,8142,6736,25258,2011-06-15,NA,0,1,1
9936,6941,5829,22706,2011-06-16,NA,0,0,0
10661,7876,6175,24712,2011-06-17,NA,0,0,0
12745,9080,7000,28825,2011-06-18,NA,0,0,0
11822,8521,5763,26106,2011-06-19,"Cultural",0,0,0
11173,7684,5404,24261,2011-06-20,NA,0,0,0
10049,6636,5125,21810,2011-06-21,NA,0,0,0
10125,5859,5417,21401,2011-06-22,NA,0,0,0
10442,7007,5331,22780,2011-06-23,NA,0,0,0
11207,7327,6104,24638,2011-06-24,NA,0,0,0
12037,8300,6145,26482,2011-06-25,NA,0,0,0
13032,9188,5448,27668,2011-06-26,NA,0,0,0
10458,7157,5027,22642,2011-06-27,NA,0,0,0
8483,6520,4797,19800,2011-06-28,NA,0,0,0
8956,6162,4812,19930,2011-06-29,NA,0,0,0
9822,6353,5276,21451,2011-06-30,NA,0,0,0
13455,9592,7986,31033,2011-07-01,NA,1,1,0
14988,9559,8454,33001,2011-07-02,NA,1,0,1
13502,9194,6477,29173,2011-07-03,NA,1,1,1
10583,7983,4467,23033,2011-07-04,"National",1,0,0
11916,8431,6249,26596,2011-07-05,NA,1,1,1
12365,7508,6729,26602,2011-07-06,NA,1,1,1
12070,8617,6040,26727,2011-07-07,NA,1,1,0
12505,7928,7246,27679,2011-07-08,NA,1,0,1
14046,10024,8416,32486,2011-07-09,NA,1,1,1
14520,9895,7124,31539,2011-07-10,NA,1,0,0
10926,8868,6798,26592,2011-07-11,NA,0,1,1
9697,7968,6967,24632,2011-07-12,NA,0,1,1
9553,8087,5805,23445,2011-07-13,NA,0,1,0
9800,7225,6422,23447,2011-07-14,NA,0,0,1
10931,8809,7609,27349,2011-07-15,NA,0,1,1
13438,9541,7890,30869,2011-07-16,NA,0,0,0
13484,9758,7092,30334,2011-07-17,NA,0,0,0
10834,7794,6011,24639,2011-07-18,NA,0,0,0
9406,6577,5948,21931,2011-07-19,NA,0,0,0
9930,6950,5607,22487,2011-07-20,NA,0,0,0
10209,6885,5684,22778,2011-07-21,NA,0,0,0
11621,7789,6946,26356,2011-07-22,NA,0,0,0
13827,9133,7324,30284,2011-07-23,NA,0,0,0
13467,9310,6022,28799,2011-07-24,NA,0,0,0
10083,7536,5276,22895,2011-07-25,NA,0,0,0
9377,6582,5236,21195,2011-07-26,NA,0,0,0
9379,6447,4678,20504,2011-07-27,NA,0,0,0
9548,6597,5098,21243,2011-07-28,NA,0,0,0
11085,7294,6163,24542,2011-07-29,NA,0,0,0
12797,8868,7288,28953,2011-07-30,NA,0,0,0
12841,9379,6457,28677,2011-07-31,NA,0,0,0
11381,9139,6087,26607,2011-08-01,"Religious",1,1,0
11236,7367,6872,25475,2011-08-02,NA,1,0,1
11280,8535,7422,27237,2011-08-03,NA,1,1,1
10499,7618,5596,23713,2011-08-04,NA,1,0,0
11494,8380,6720,26594,2011-08-05,NA,1,1,1
13371,10505,8083,31959,2011-08-06,NA,1,1,1
14111,11146,6749,32006,2011-08-07,NA,1,1,0
11813,8302,6239,26354,2011-08-08,NA,1,0,1
11441,8178,6594,26213,2011-08-09,NA,1,1,1
11556,7266,5756,24578,2011-08-10,NA,1,0,0
10370,7950,6388,24708,2011-08-11,NA,0,1,1
11918,9338,7288,28544,2011-08-12,NA,0,1,1
14227,11454,7322,33003,2011-08-13,NA,0,1,0
15256,11302,7351,33909,2011-08-14,NA,0,0,1
11723,9825,6963,28511,2011-08-15,NA,0,1,1
11037,8152,6077,25266,2011-08-16,NA,0,0,0
10163,7827,5691,23681,2011-08-17,NA,0,0,0
10282,7770,5324,23376,2011-08-18,NA,0,0,0
11451,8829,6724,27004,2011-08-19,NA,0,0,0
14025,11170,7063,32258,2011-08-20,NA,0,0,0
15415,12340,6218,33973,2011-08-21,NA,0,0,0
11166,8584,5574,25324,2011-08-22,NA,0,0,0
10026,7483,5108,22617,2011-08-23,NA,0,0,0
9921,6530,5484,21935,2011-08-24,NA,0,0,0
9527,6464,5423,21414,2011-08-25,NA,0,0,0
10979,7184,6105,24268,2011-08-26,NA,0,0,0
13649,9774,6960,30383,2011-08-27,NA,0,0,0
14060,10547,6019,30626,2011-08-28,NA,0,0,0
9890,7054,5141,22085,2011-08-29,NA,0,0,0
8931,6258,5161,20350,2011-08-30,NA,0,0,0
9238,6378,6107,21723,2011-08-31,"Religious",0,0,0
10865,8827,6607,26299,2011-09-01,NA,1,1,0
12472,8211,8525,29208,2011-09-02,NA,1,0,1
14568,10987,8477,34032,2011-09-03,NA,1,1,1
13019,7538,6368,26925,2011-09-04,NA,1,0,0
13807,9371,6980,30158,2011-09-05,"National",1,1,1
12063,7545,6526,26134,2011-09-06,NA,1,1,1
10804,8306,5335,24445,2011-09-07,NA,1,1,0
10879,6992,6177,24048,2011-09-08,NA,1,0,1
12294,8722,7230,28246,2011-09-09,NA,1,1,1
14664,10427,7939,33030,2011-09-10,NA,1,0,0
15086,11559,7987,34632,2011-09-11,NA,0,1,1
10704,8492,6942,26138,2011-09-12,NA,0,1,1
10089,8996,5560,24645,2011-09-13,NA,0,1,0
9776,7365,6364,23505,2011-09-14,NA,0,0,1
10061,8914,7368,26343,2011-09-15,NA,0,1,1
11169,8672,7092,26933,2011-09-16,NA,0,0,0
13587,10510,8098,32195,2011-09-17,NA,0,0,0
14843,10658,6533,32034,2011-09-18,NA,0,0,0
11168,8065,5134,24367,2011-09-19,NA,0,0,0
10500,7056,5119,22675,2011-09-20,NA,0,0,0
10185,6403,5208,21796,2011-09-21,NA,0,0,0
9984,6554,5321,21859,2011-09-22,NA,0,0,0
12504,7942,6260,26706,2011-09-23,NA,0,0,0
14876,10062,7528,32466,2011-09-24,NA,0,0,0
15644,10890,6694,33228,2011-09-25,NA,0,0,0
11231,7635,5224,24090,2011-09-26,NA,0,0,0
10813,6924,5051,22788,2011-09-27,NA,0,0,0
10479,6453,5261,22193,2011-09-28,NA,0,0,0
10203,6762,5418,22383,2011-09-29,NA,0,0,0
12957,9333,7892,30182,2011-09-30,NA,0,0,0
18020,12475,8817,39312,2011-10-01,NA,1,1,0
17094,11153,8967,37214,2011-10-02,NA,1,0,1
13097,9428,7930,30455,2011-10-03,NA,1,1,1
12525,7671,5918,26114,2011-10-04,NA,1,0,0
11262,8050,6601,25913,2011-10-05,NA,1,1,1
11009,8057,7000,26066,2011-10-06,NA,1,1,1
13365,9630,6990,29985,2011-10-07,NA,1,1,0
16599,9984,9347,35930,2011-10-08,NA,1,0,1
16507,10106,9327,35940,2011-10-09,NA,1,1,1
13561,9623,6217,29401,2011-10-10,"National",1,0,0
12035,8545,6847,27427,2011-10-11,NA,0,1,1
11066,9193,7155,27414,2011-10-12,NA,0,1,1
11244,8632,6240,26116,2011-10-13,NA,0,1,0
13338,8488,8059,29885,2011-10-14,NA,0,0,1
16285,11799,10342,38426,2011-10-15,NA,0,1,1
16289,11864,7974,36127,2011-10-16,NA,0,0,0
12373,8841,6378,27592,2011-10-17,NA,0,0,0
10748,7826,5628,24202,2011-10-18,NA,0,0,0
10247,7082,5112,22441,2011-10-19,NA,0,0,0
10350,6850,5202,22402,2011-10-20,NA,0,0,0
12600,7942,6588,27130,2011-10-21,NA,0,0,0
15555,9982,7614,33151,2011-10-22,NA,0,0,0
15709,10427,6740,32876,2011-10-23,NA,0,0,0
11321,7832,5363,24516,2011-10-24,NA,0,0,0
10278,6919,5240,22437,2011-10-25,NA,0,0,0
9747,7055,5340,22142,2011-10-26,NA,0,0,0
10419,6825,5738,22982,2011-10-27,NA,0,0,0
11718,7734,7428,26880,2011-10-28,NA,0,0,0
15724,9473,8022,33219,2011-10-29,NA,0,0,0
16057,9647,6149,31853,2011-10-30,NA,0,0,0
10191,7218,5286,22695,2011-10-31,"Cultural",0,0,0
11094,8384,6561,26039,2011-11-01,NA,1,1,0
11227,7191,6390,24808,2011-11-02,NA,1,0,1
11972,8193,7737,27902,2011-11-03,NA,1,1,1
13252,7868,7476,28596,2011-11-04,NA,1,0,0
16293,10807,9787,36887,2011-11-05,NA,1,1,1
17402,11608,8877,37887,2011-11-06,NA,1,1,1
12654,8943,5681,27278,2011-11-07,"Religious",1,1,0
11987,6793,6408,25188,2011-11-08,NA,1,0,1
11442,8143,6507,26092,2011-11-09,NA,1,1,1
12375,7213,6559,26147,2011-11-10,NA,1,0,0
13522,8425,7808,29755,2011-11-11,"National",0,1,1
15332,10782,9808,35922,2011-11-12,NA,0,1,1
15584,11654,8110,35348,2011-11-13,NA,0,1,0
11665,8462,6646,26773,2011-11-14,NA,0,0,1
10860,8414,7427,26701,2011-11-15,NA,0,1,1
10281,7426,6221,23928,2011-11-16,NA,0,0,0
10244,7206,5664,23114,2011-11-17,NA,0,0,0
12106,7601,6800,26507,2011-11-18,NA,0,0,0
16144,9488,7913,33545,2011-11-19,NA,0,0,0
15546,10141,7066,32753,2011-11-20,NA,0,0,0
12213,7925,5436,25574,2011-11-21,NA,0,0,0
12047,7813,5794,25654,2011-11-22,NA,0,0,0
13587,10465,6735,30787,2011-11-23,NA,0,0,0
7356,7361,3710,18427,2011-11-24,"National",0,0,0
10726,6790,6482,23998,2011-11-25,NA,0,0,0
11762,6923,6607,25292,2011-11-26,NA,0,0,0
12714,8050,6370,27134,2011-11-27,NA,0,0,0
10501,6342,5535,22378,2011-11-28,NA,0,0,0
9993,6305,5286,21584,2011-11-29,NA,0,0,0
9455,6314,5320,21089,2011-11-30,NA,0,0,0
11572,8053,6643,26268,2011-12-01,NA,1,1,0
13326,7741,8660,29727,2011-12-02,NA,1,0,1
17353,10618,10158,38129,2011-12-03,NA,1,1,1
16724,10136,8218,35078,2011-12-04,NA,1,0,0
13173,8415,7632,29220,2011-12-05,NA,1,1,1
11773,8357,7137,27267,2011-12-06,NA,1,1,1
11594,7850,6009,25453,2011-12-07,NA,1,1,0
12133,6701,7513,26347,2011-12-08,NA,1,0,1
12985,8401,8052,29438,2011-12-09,NA,1,1,1
16330,9205,9251,34786,2011-12-10,NA,1,0,0
15956,11283,8504,35743,2011-12-11,NA,0,1,1
12691,9194,7266,29151,2011-12-12,NA,0,1,1
11733,8881,6299,26913,2011-12-13,NA,0,1,0
10962,8557,7275,26794,2011-12-14,NA,0,0,1
12215,9558,7871,29644,2011-12-15,NA,0,1,1
12697,8521,7667,28885,2011-12-16,NA,0,0,0
15522,9998,8639,34159,2011-12-17,NA,0,0,0
15434,9351,7302,32087,2011-12-18,NA,0,0,0
12610,8011,6447,27068,2011-12-19,NA,0,0,0
12023,7657,6582,26262,2011-12-20,NA,0,0,0
12182,8174,6306,26662,2011-12-21,NA,0,0,0
12706,8596,6880,28182,2011-12-22,NA,0,0,0
15765,10177,8704,34646,2011-12-23,NA,0,0,0
12557,9803,7598,29958,2011-12-24,NA,0,0,0
8,2,3,13,2011-12-25,"National",0,0,0
12390,9044,6598,28032,2011-12-26,NA,0,0,0
11775,7274,5602,24651,2011-12-27,NA,0,0,0
11737,7294,5760,24791,2011-12-28,"Religious",0,0,0
11761,7139,5641,24541,2011-12-29,NA,0,0,0
15763,9371,8518,33652,2011-12-30,NA,0,0,0
14365,10491,8895,33751,2011-12-31,NA,0,0,0
10218,7224,4365,21807,2012-01-01,"National",1,1,0
15152,9307,8594,33053,2012-01-02,NA,1,0,1
12740,8345,7666,28751,2012-01-03,NA,1,1,1
11512,7530,6779,25821,2012-01-04,NA,1,0,0
12283,8558,7658,28499,2012-01-05,NA,1,1,1
12809,9197,8399,30405,2012-01-06,NA,1,1,1
16634,11191,9318,37143,2012-01-07,"Religious",1,1,0
17261,10981,8480,36722,2012-01-08,NA,1,0,1
13418,7173,7615,28206,2012-01-09,NA,1,1,1
12192,7940,6508,26640,2012-01-10,NA,1,0,0
11470,8551,9023,29044,2012-01-11,NA,0,1,1
10549,7901,6265,24715,2012-01-12,NA,0,1,1
13098,9508,6857,29463,2012-01-13,NA,0,1,0
15748,10482,10585,36815,2012-01-14,NA,0,0,1
15729,11336,9394,36459,2012-01-15,NA,0,1,1
14013,9018,7517,30548,2012-01-16,"National",0,0,0
10525,6925,4737,22187,2012-01-17,NA,0,0,0
11172,7249,6927,25348,2012-01-18,NA,0,0,0
10689,7069,6276,24034,2012-01-19,NA,0,0,0
12202,8441,6561,27204,2012-01-20,NA,0,0,0
18418,10606,9554,38578,2012-01-21,NA,0,0,0
14539,10434,7614,32587,2012-01-22,NA,0,0,0
11365,7619,5718,24702,2012-01-23,NA,0,0,0
11109,6593,5847,23549,2012-01-24,NA,0,0,0
10622,6163,5623,22408,2012-01-25,NA,0,0,0
10471,6757,6009,23237,2012-01-26,NA,0,0,0
12353,7920,6926,27199,2012-01-27,NA,0,0,0
